episode,total_reward,env_reward,pos_reward,epsilon,duration,steps,scores_made,scores_against
136,-2.560000,-21.000000,18.440000,0.760123,54.267778,944,145,2877
137,4.645500,-19.000000,22.645500,0.758603,65.365630,1136,147,2898
138,2.347500,-20.000000,21.847500,0.757086,63.367163,1101,148,2919
139,4.617500,-20.000000,24.117500,0.755572,70.343551,1222,149,2940
140,19.615000,-17.000000,34.615000,0.754061,101.342733,1749,153,2961
141,5.885000,-21.000000,26.885000,0.752553,78.302770,1368,153,2982
142,-0.162500,-20.000000,19.337500,0.751047,56.675980,979,154,3003
143,2.187667,-20.000000,21.687667,0.749545,63.348311,1099,155,3024
144,12.817833,-18.000000,29.317833,0.748046,85.024867,1473,158,3045
145,9.405333,-19.000000,27.405333,0.746550,78.978485,1376,160,3066
146,4.477667,-20.000000,23.977667,0.745057,71.473346,1222,161,3087
147,3.310167,-19.000000,21.310167,0.743567,61.806846,1076,163,3108
148,6.655167,-19.000000,24.655167,0.742080,72.270225,1254,165,3129
149,7.055667,-19.000000,25.055667,0.740596,72.224930,1256,167,3150
150,8.230167,-19.000000,26.230167,0.739115,76.242700,1321,169,3171
151,12.417500,-18.000000,28.917500,0.737636,84.709114,1470,172,3192
152,7.147667,-20.000000,26.647667,0.736161,77.797797,1345,173,3213
153,12.910667,-19.000000,30.910667,0.734689,90.243256,1564,175,3234
154,4.730000,-21.000000,25.730000,0.733219,75.368111,1310,175,3255
155,9.172833,-18.000000,25.672833,0.731753,74.610359,1294,178,3276
156,1.065000,-21.000000,22.065000,0.730289,65.361112,1126,178,3297
157,9.525500,-19.000000,27.525500,0.728829,80.419047,1381,180,3318
158,1.052833,-20.000000,20.552833,0.727371,63.456481,1041,181,3339
159,4.837833,-20.000000,24.337833,0.725916,70.944886,1225,182,3360
160,7.897500,-18.000000,24.397500,0.724465,71.654142,1233,185,3381
161,8.222500,-20.000000,27.722500,0.723016,81.005071,1402,186,3402
162,-1.365000,-21.000000,19.635000,0.721570,58.365000,1004,186,3423
163,12.565333,-17.000000,27.565333,0.720126,82.323766,1387,190,3444
164,6.132500,-20.000000,25.632500,0.718686,74.985407,1286,191,3465
165,7.075500,-19.000000,25.075500,0.717249,72.997474,1257,193,3486
166,6.995333,-19.000000,24.995333,0.715814,73.652009,1257,195,3507
167,-1.085000,-21.000000,19.915000,0.714383,58.560124,1008,195,3528
168,1.145000,-21.000000,22.145000,0.712954,65.966436,1130,195,3549
169,-1.305000,-21.000000,19.695000,0.711528,58.905224,1007,195,3570
170,1.085000,-21.000000,22.085000,0.710105,66.045991,1127,195,3591
171,3.422667,-20.000000,22.922667,0.708685,71.282378,1160,196,3612
172,3.210333,-19.000000,21.210333,0.707267,62.567062,1077,198,3633
173,3.502500,-20.000000,23.002500,0.705853,67.386455,1161,199,3654
174,-3.715000,-21.000000,17.285000,0.704441,52.691965,886,199,3675
175,11.947833,-20.000000,31.447833,0.703032,92.506245,1583,200,3696
176,10.267500,-18.000000,26.767500,0.701626,79.182072,1354,203,3717
177,2.240000,-21.000000,23.240000,0.700223,69.393291,1185,203,3738
178,12.998000,-18.000000,29.498000,0.698823,86.561690,1481,206,3759
179,12.730667,-19.000000,30.730667,0.697425,91.427916,1560,208,3780
180,-1.417500,-20.000000,18.082500,0.696030,53.470151,919,209,3801
181,4.557500,-20.000000,24.057500,0.694638,71.412759,1223,210,3822
182,2.500000,-21.000000,23.500000,0.693249,69.075442,1191,210,3843
183,9.252833,-18.000000,25.752833,0.691862,75.719698,1291,213,3864
184,-1.365000,-21.000000,19.635000,0.690478,59.506598,1004,213,3885
185,9.525667,-19.000000,27.525667,0.689098,80.551047,1382,215,3906
186,6.935667,-19.000000,24.935667,0.687719,73.754321,1256,217,3927
187,24.483167,-16.000000,37.983167,0.686344,111.504438,1908,222,3948
188,3.522500,-20.000000,23.022500,0.684971,68.212573,1164,223,3969
189,5.780500,-19.000000,23.780500,0.683601,70.006213,1195,225,3990
190,9.597500,-20.000000,29.097500,0.682234,85.326364,1461,226,4011
191,5.500000,-19.000000,23.500000,0.680870,69.671688,1195,228,4032
192,4.837500,-20.000000,24.337500,0.679508,71.497504,1224,229,4053
193,-1.365000,-21.000000,19.635000,0.678149,58.624453,1004,229,4074
194,18.945500,-19.000000,36.945500,0.676793,109.002998,1862,231,4095
195,8.932500,-18.000000,25.432500,0.675439,75.823645,1292,234,4116
196,23.180667,-17.000000,38.180667,0.674088,113.353011,1931,238,4137
197,7.127500,-20.000000,26.627500,0.672740,78.645098,1348,239,4158
198,17.405500,-17.000000,32.405500,0.671394,95.416058,1633,243,4179
199,16.010167,-17.000000,31.010167,0.670052,91.645252,1568,247,4200
200,4.497833,-20.000000,23.997833,0.668712,71.749460,1222,248,4221
201,13.307500,-16.000000,26.807500,0.667374,80.193945,1363,253,4242
202,20.457500,-16.000000,33.957500,0.666039,101.128828,1721,258,4263
203,6.842500,-18.000000,23.342500,0.664707,68.353344,1172,261,4284
204,13.752500,-18.000000,30.252500,0.663378,89.589433,1532,264,4305
205,21.030167,-17.000000,36.030167,0.662051,106.615479,1813,268,4326
206,16.210333,-17.000000,31.210333,0.660727,92.693828,1574,272,4347
207,11.562667,-18.000000,28.062667,0.659406,83.635041,1413,275,4368
208,-4.950000,-21.000000,16.050000,0.658087,48.631426,824,275,4389
209,-0.090000,-21.000000,20.910000,0.656771,62.359756,1068,275,4410
210,11.815333,-19.000000,29.815333,0.655457,87.972069,1499,277,4431
211,6.915333,-19.000000,24.915333,0.654146,73.699471,1256,279,4452
212,10.560167,-19.000000,28.560167,0.652838,84.651946,1444,281,4473
213,3.282500,-20.000000,22.782500,0.651532,68.115575,1162,282,4494
214,15.200167,-19.000000,33.200167,0.650229,98.086537,1676,284,4515
215,-0.042500,-20.000000,19.457500,0.648929,57.708092,979,285,4536
216,11.402833,-18.000000,27.902833,0.647631,83.393407,1411,288,4557
217,18.553000,-18.000000,35.053000,0.646335,104.955475,1773,291,4578
218,27.310333,-19.000000,45.310333,0.645043,133.799142,2279,293,4599
219,2.240000,-21.000000,23.240000,0.643753,69.941506,1185,293,4620
220,17.598000,-18.000000,34.098000,0.642465,100.958952,1717,296,4641
221,18.280000,-17.000000,33.280000,0.641180,99.144795,1688,300,4662
222,7.287500,-20.000000,26.787500,0.639898,78.901628,1344,301,4683
223,12.425333,-17.000000,27.425333,0.638618,81.865167,1390,305,4704
224,10.932833,-20.000000,30.432833,0.637341,89.721036,1526,306,4725
225,21.913000,-16.000000,35.413000,0.636066,104.349774,1782,311,4746
226,10.620333,-19.000000,28.620333,0.634794,85.177944,1436,313,4767
227,19.988000,-18.000000,36.488000,0.633524,108.177413,1837,316,4788
228,12.890333,-19.000000,30.890333,0.632257,92.019800,1559,318,4809
229,15.267833,-18.000000,31.767833,0.630993,93.698550,1598,321,4830
230,28.552833,-18.000000,45.052833,0.629731,133.369145,2261,324,4851
231,12.605000,-17.000000,27.605000,0.628471,82.321865,1388,328,4872
232,23.320333,-17.000000,38.320333,0.627215,113.628349,1929,332,4893
233,8.150000,-19.000000,26.150000,0.625960,77.709942,1316,334,4914
234,2.347500,-20.000000,21.847500,0.624708,65.591086,1104,335,4935
235,12.107667,-20.000000,31.607667,0.623459,94.098707,1590,336,4956
236,21.282833,-18.000000,37.782833,0.622212,112.780510,1897,339,4977
237,18.985500,-19.000000,36.985500,0.620967,110.920683,1865,341,4998
238,10.640500,-19.000000,28.640500,0.619726,85.618502,1438,343,5019
239,17.578167,-18.000000,34.078167,0.618486,101.422704,1709,346,5040
240,22.550667,-19.000000,40.550667,0.617249,121.693090,2047,348,5061
